tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline
88751,False,True,605516,45000000,"['Action', 'Science Fiction', 'Adventure', 'Comedy', 'Family']","On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",12,New Line Cinema,7,2008,101702060,Same Planet. Different World.
1620,False,True,737031,24000000,"['Action', 'Thriller', 'Drama']","A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",867,Anka Film,11,2007,99965753,Most believe his very existence is a sin. But others know he is a necessary evil.
147441,False,False,,140000000,"['Adventure', 'Drama', 'Action']","The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",25,20th Century Fox,12,2014,268031828,"Once brothers, now enemies."
759175,False,False,,0,"['Action', 'Fantasy']","A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",127928,20th Century Studios,6,2022,0,Bow to no one.
81005,False,False,,195000000,"['Fantasy', 'Action', 'Adventure', 'Drama']","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",12,New Line Cinema,2,2013,197700000,Prepare for a giant adventure
570678,False,True,1025281,0,"['Action', 'Fantasy', 'Horror']","After a long hiatus, John Constantine is drawn back into action after finding out supreme demons have acquired a map to Heaven and are planning a mission to destroy the kingdom of God.",433,Weed Road Pictures,,,0,
390054,False,False,,0,"['War', 'Action', 'Drama']","Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",1557,The Mark Gordon Company,4,2017,0,Home is a war away
259695,False,False,,90000000,"['Crime', 'Drama', 'Thriller']","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",562,Appian Way,12,2016,22700000,Joe was once a good man.
9738,False,True,9744,100000000,"['Action', 'Fantasy', 'Science Fiction']","During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",26149,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG,6,2005,333535934,4 times the action. 4 times the adventure. 4 times the fantastic.
683328,False,False,,0,"['Action', 'Comedy', 'Crime']",A by-the-book female detective teams up with four down-on-their-luck assassins to investigate her father's murder.,138594,Frontier Pictures,12,2022,0,
427641,False,False,,120000000,"['Action', 'Adventure', 'Science Fiction']","Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",73118,Wrigley Pictures,4,2018,428028233,Big meets bigger
9319,False,False,,29000000,"['Action', 'Thriller']","When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",360,Geffen Pictures,12,1991,59500000,Everyone had counted them out. But they're about to get back in the game.
137094,False,False,,60000000,"['Action', 'Drama', 'Thriller']","Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.",435,di Bonaventura Pictures,1,2014,135500000,Trust no one.
4513,False,True,91660,30000000,"['Horror', 'Thriller']","This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",24339,HorrorFlix,10,2007,75505973,They're Coming!
5549,False,True,5547,35000000,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']","After a successful deployment of the RoboCop Law Enforcement unit, OCP sees its goal of urban pacification come closer and closer, but as this develops, a new narcotic known as ""Nuke"" invades the streets led by God-delirious leader Cane. As this menace grows, it may prove to be too much for Murphy to handle. OCP tries to replicate the success of the first unit, but ends up with failed prototypes with suicidal issues... until Dr. Faxx, a scientist straying away from OCP's path, uses Cane as the new subject for the RoboCop 2 project, a living God.",41,Orion Pictures,6,1990,45681173,He's back to protect the innocent.
3604,False,False,,35000000,"['Science Fiction', 'Adventure', 'Action']",A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,10308,Dino De Laurentiis Company,9,1980,27100000,Pathetic earthlings...who can save you now?
308531,False,True,401562,135000000,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']","After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",47354,5150 Action,6,2016,245600000,Raise some shell.
1948,False,True,64751,12000000,"['Action', 'Thriller', 'Crime']","Chev Chelios, a hit man wanting to go straight, lets his latest target slip away. Then he awakes the next morning to a phone call that informs him he has been poisoned and has only an hour to live unless he keeps adrenaline coursing through his body while he searches for an antidote.",126,Lakeshore Entertainment,8,2006,42900000,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one."
11918,False,False,,35000000,"['Comedy', 'Action', 'Science Fiction']","The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",7405,Dimension Films,3,2008,25871834,The greatest Superhero movie of all time! (not counting all the others)
1026377,False,False,,0,"['Thriller', 'Action']","After being dishonorably discharged from the military, a Staff Sergeant finds his way back into society through a charismatic politician with a covert military operation to eliminate an underground criminal entity on U.S soil.",,,10,2022,0,"Honor, betrayal, redemption."
